"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords","Index Keywords"
"Piňdák F.","Piňdák, F. (59018202700)","59018202700","Czechoslovakia and comecon","1969","De Economist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250479744&doi=10.1007%2fBF02367297&partnerID=40&md5=3c0d8da44ab5f96ae97ea2da5a9c1ffd","The article follows official statements and theoretical discussions in Czechoslovakia in order to explain the role of foreign trade in Czechoslovak economic reforms. After an outline of the historical background, stressing the dependence of Czechoslovak economy and of her industrial structure on external relations, the position of Czechoslovakia is assessed during Khrushchev's attempts to integrate the East European countries. The main attention, however, is paid to the period after December 1966 when top Czechoslovak organs took the decision to start profound economic reforms in the field of foreign trade-as the first East European country and without consulting other COMECON members. The most important instrument, the so-called ""inner price adjustment"", has been employed since January 1st, 1967, i.e. one year before Hungary has introduced it, too. It interconnects the domestic wholesale prices with the foreign trade prices in such a way as to make the difference part of the financial results of the enterprises instead of former budgetary financing. Within the framework of other measures this device would make it ultimately possible to reach convertibility of the Czechoslovak crown. During the first half of 1968 theoretical efforts were aimed at foreign trade liberalization and such a policy was partly executed. Finally, two theories of ""socialist integration"" are sketched which have emerged in Eastern Europe on both official and theoretical levels since august 1968 as a consequence of the above-mentioned Czechoslovak developments. The author is a research fellow at the Netherlands School of Economics in Rotterdam. © 1969 De Erven F. Bohn N.V.","",""
"Webb M.G.","Webb, M.G. (36508250600)","36508250600","SOME ASPECTS OF NUCLEAR POWER ECONOMICS IN THE UNITED KINGDOM","1969","Scottish Journal of Political Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989992499&doi=10.1111%2fj.1467-9485.1969.tb00029.x&partnerID=40&md5=086ef73b07bddafddeaaa4fd18792917","[No abstract available]","",""
"","","","Doctoral Dissertations in Econometrics & Mathematical Economics","1968","American Economist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106570688&doi=10.1177%2f056943456801200114&partnerID=40&md5=a4047026c9648a27001288c53a79650e","[No abstract available]","",""
"Hoffman A.C.","Hoffman, A.C. (57225695598)","57225695598","What agribusiness economists need from theoretical and empirical agricultural economics","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957683110&doi=10.2307%2f1237598&partnerID=40&md5=36436ed71482a9f2b6525db07bdd6be7","[No abstract available]","",""
"ROBERTSON H.M.","ROBERTSON, H.M. (57165336700)","57165336700","THE WEALTH OF NATIONS: HOW THE NATIONAL INCOME IS PRODUCED, DIVIDED UP AND SPENT","1969","South African Journal of Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977738364&doi=10.1111%2fj.1813-6982.1969.tb02504.x&partnerID=40&md5=c2fedb3782c3a55b0f7c9ba9b18b0a24","Economics is not a particularly happy choice as a subject for a short series of summer school lectures. It is a subject which can appear either incomprehensibly complicated and difficult, or to comprise such simple common‐sense that there is nothing to it but a series of truisms and exceedingly trite platitudes. Of course, if you choose your lecturer well (or have him chosen by the enthusiastic but incautious Robert Tobias, our Director of Extra‐Mural Studies) you may form a synthetic impression that economics manages both and consists of turning a few trite platititudes into something incomprehensible! Quite an academic achievement! Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"BENDER L.D.; GREEN B.L.","BENDER, LLOYD D. (7005081720); GREEN, BERNAL L. (57216098164)","7005081720; 57216098164","NEGATIVE TAXATION AND POVERTY","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977691492&doi=10.1111%2fj.1744-7976.1968.tb02437.x&partnerID=40&md5=c9dbbb47f45f59251f1c535d035d4e6c","The persistence and scope of poverty and its deleterious effects on society are far greater in the present affluent economy than leaders have anticipated. The evolving control structures have not kept the world's poverty at tolerable levels, and leaders in all countries are seeking more effective means to meet this grave challenge of our age. A negative income tax is one of these mechanisms being studied. In this paper we consider the merits of this plan as implemented in a developing region — the rural areas of the Ozarks — and compare them with the merits of the present public assistance program in the United States. The relevance of the study extends to all affluent societies. Applying the negative income tax to a cross section of households in the rural portion of the Ozarks Region raises questions concerning its overall effectiveness if instituted without modification. The primary issues relate to its distributive effects. Although coverage under the Friedman Negative Tax Plan is much broader than that under current welfare plans, the gap between a target income and disposable income under, the plan is not greatly decreased except at prohibitively high negative tax rates. Many former welfare recipients would receive less total income under the plan. The bulk of the negative tax payments would be received by younger multiple‐member families, and their work incentives might be reduced. Furthermore, costs of a negative tax plan would likely be high. © 1968 by the Canadian Agricultural Economics Society","",""
"Bach G.L.","Bach, G.L. (56952266100)","56952266100","A Further Note on Programmed Learning in Economics","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946657125&doi=10.1080%2f00220485.1969.10845297&partnerID=40&md5=3b6c51a54475ad01ab13a76ae1163c0d","Nationwide experimentation with programmed learning materials has shown their general efficiency. But how well do programmed materials fare when tested against the classroom teaching of a skilled and experienced professor?. © 1969 Taylor & Francis Group, LLC.","",""
"Andarawewa A.B.","Andarawewa, A.B. (57190141698)","57190141698","TENURE PATTERNS AND THE COMMERCIALIZATION OF CANADIAN AGRICULTURE","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977685589&doi=10.1111%2fj.1744-7976.1969.tb02474.x&partnerID=40&md5=4aeb81578501f1517e2097b39eb321ce","The belief that farm land should be owned by the farmer has long been supported by economists. Their objections to tenancy have been based on inefficient resource use and lack of incentives. Further, both in the U.S. and in Canada, it has been assumed that a society of predominantly land owning farmers contributes to political stability. However, an analysis of the data for Canada shows that during the period 1921–66 there has been a growth in land rental but this growth has not inhibited the commercialization, specialization and general development of agriculture. Hence, Canadian economists who are called upon, in increasing numbers, to advise developing countries on measures to develop agriculture have to be wary of prejudging tenancy as inefficent per se but should examine the actual working of tenancy systems for elements which induce inefficiencies. LA COMMERCIALISATION DEL'AGRICULTURE CANADIENNE ‐ Depuis longtemps, les économistes appuient la croyance que les terres arables devraient ètre posséder par le fermier. Les objections à la location sont basées sur l'incompétence des ressources d'usages et le manque d'encouragement. De plus, nous présumons qu'une société de propriétaire de ferme contribuera largement à la stabüité politique. Une analyse de ces données au Canada démontre que durant les années 1921–66, une croissance dans la location des terres n'a nullement aidé au développement agricole. Désormais, les économistes canadiens qui sont appelés en pita grand nombre à renseigner les pays en voie de développement, devraient être prudent avant de préjuger l'incompétence de la location, mats plutôt examiné les éléments qui occasionnent cette incompétence. © 1969 by the Canadian Agricultural Economics Society","",""
"Morton G.; Zauberman A.","Morton, George (57190472725); Zauberman, Alfred (16423883500)","57190472725; 16423883500","VON NEUMANN'S MODEL AND SOVIET LONG‐TERM (PERSPECTIVE) PLANNING","1969","Kyklos","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980127740&doi=10.1111%2fj.1467-6435.1969.tb02521.x&partnerID=40&md5=8ba99c701f49ae50f8429f749ef18874","The first to draw Soviet economists’ attention—in the early ‘sixties’—to the von Neumann model, hitherto unknown in, and indeed alien to Soviet economics, was Nemchinov. The subject was taken up by several writers: of particular interest is the impact of the construct on the model of'dynamic planning’ designed by Kantorovich and Makarov; this is the theme of the present article. MORTON and Zauberman start from a discussion of the von Neumann‐type equilibrium in a long term economic plan. They then turn to several specific issues which have been for some time focal in Soviet planning thought and analyse the significance for them of the von Neumann model. These are in particular the nexus between the pace of the economy's growth and investment efficiency—traditionally recognized as central in the advance for Soviet economy; further the problems of efficiency and profit rates and in general the efficiency parameters (pricing). The authors also discuss the quest for an optimality criterion—from the angle of their theme. The article concludes with precepts for the planner as influenced by the VON Neumann ideas. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"Williams D.B.","Williams, Donald B. (57101249200)","57101249200","Production economics, farm management, and extension","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910514598&doi=10.2307%2f1238306&partnerID=40&md5=459fc2f155ca1b4875a9de253760568c","Perusal of the literature of agricultural economics and some exposure to the work of personnel engaged in agricultural extension suggest the need to review relationships between the disciplines of production economics, farm management, and extension. This need arises because each of the disciplines might be expected to have significant effects on the scope, methodology, and usefulness of the others. My purpose is to try to set in perspective some of the differences in viewpoint that have emerged between different participants in agricultural economics and agricultural extension. This perspective may help to point the way to release from some aspects of the new orthodoxy within agricultural economics, whic is discussed in the paper. © 1969, Oxford University Press.","",""
"Killingsworth C.C.","Killingsworth, Charles C. (57188777344)","57188777344","FULL EMPLOYMENT and THE NEW ECONOMICS","1969","Scottish Journal of Political Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989993196&doi=10.1111%2fj.1467-9485.1969.tb00035.x&partnerID=40&md5=840a82d59c9e90c8c01ce065f13db898","[No abstract available]","",""
"Huddle D.L.","Huddle, Donald L. (6602138904)","6602138904","An estimate of import surplus under a disequilibrium system","1968","Public Choice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250507680&doi=10.1007%2fBF01718689&partnerID=40&md5=ad0279400f72c441f0deebe1af7b1bf4","The direct rationing system undeniably resulted in sizable windfall profits for importers, selected exchange officials, and those with political connections. That the rationing system did not operate according to design should not be interpreted as necessarily undesirable, however. In terms of investment, efficient allocation of resources, and price stability criteria, the breakdown of the system may have been better or worse than its perfect operation. It is interesting that the income distributional effects prompted a change rather than efficiency or investment effects. In late 1953 a new system incorporating the acutioning of foreign exchange to importers in a price bidding market was designed to transfer all windfalls to the government. But that importers, functionaries, and politicians succeeded in capturing part of the windfalls attests to the difficulties of operating efficiently a disequilibrium system. © 1968 The Center for Studies in Public Choice, Department of Economics, Virginia Polytechnic Institute.","",""
"Chih C.","Chih, Che (56991365900)","56991365900","A brief discussion on the unity of politics, economics, and technology in designing work","1968","Chinese Economic Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949173869&doi=10.2753%2fCES1097-1475010483&partnerID=40&md5=5a1249f8efb71706197ec9cf4c3bf45e","[No abstract available]","",""
"Paden D.W.; Moyer M.E.","Paden, Donald W. (56619861300); Moyer, M. Eugene (56952132300)","56619861300; 56952132300","The Relative Effectiveness of Three Methods of Teaching Principles of Economics","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946635827&doi=10.1080%2f00220485.1969.10845294&partnerID=40&md5=56ba66accfc6cc7ef12ffc13b8478821","There has been scientific evaluation of televised versus live conventional instruction and also analogous evaluation of conventional instruction versus programmed learning. What about a simultaneous comparison of all three methods? Paden and Moyer tackle this complex question with attention to both student learning (cognition) and affect. Their results should help to guide teachers of economics in their selection and evaluation of media. © 1969 Taylor & Francis Group, LLC.","",""
"Winter Jr. S.G.","Winter Jr., Sidney G (7202247306)","7202247306","A simple remark on the second optimality theorem of welfare economics","1969","Journal of Economic Theory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343279283&doi=10.1016%2f0022-0531%2869%2990015-5&partnerID=40&md5=7035d36c4828bc88cf6a42f0e058702c","[No abstract available]","",""
"OKAZAKI S.","OKAZAKI, SHŌKŌ (57190455087)","57190455087","SH?RANG‐SOFLĀ: THE ECONOMICS OF A NORTHEAST IRANIAN VILLAGE","1969","The Developing Economies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247985787&doi=10.1111%2fj.1746-1049.1969.tb00971.x&partnerID=40&md5=2f807a933e0d40d1423ba9c8b880d346","The village of Sh?‐Soflā, located in the Gorgān region of northeast Iran, has had its predominantly agricultural economy revolutionized over recent years by significant increases in the percentage of cotton, tobacco, and other cash crops planted by its peasants, paralleled by a tightening of the grip of commercial capital upon the small producer. In this paper, I propose to examine the impact of these revolutionizing changes upon the structure of the agricultural economy, using the material gathered during a field study of the village of Sh?rang‐Soflā carried out by the author in August of 1963. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"KRAUSE K.R.","KRAUSE, KENNETH R. (57101225800)","57101225800","FARM FINANCIAL MANAGEMENT: EMERGING PROBLEMS*","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977686580&doi=10.1111%2fj.1744-7976.1968.tb02428.x&partnerID=40&md5=a492536136068755b6f742c58ba0c3b1","Changes in the structure of Agriculture and more particularly in food and natural fiber production during the last two decades have served to focus attention on the neglected area of farm financial management. Technical farm production decisions are becoming less difficult relative to financial decisions. Financial management is not only becoming more important but is vitally connected with problems of what is going to happen to family firms; what form of business organization should they use to acquire capital, how should they obtain capital, and how should management be obtained and organized. Financial institutions are also facing some serious questions for which answers are scarce, not only because of lack of available information, but also because of conceptual voids. This paper discusses these problems particularly as they relate to relevant areas for research inquiry. It is unlikely that the changes giving rise to the need for more attention to the agricultural finance areas will slow down in the foreseeable future. Financial parameters will be the major determinants of the entrepreneurial independence of family size and large food and natural fiber producers. The financial problems already confronting farming are numerous and complex, and the task ahead for the agricultural economists is great since time cannot be neutral in its effect if progress is to be achieved. © 1968 by the Canadian Agricultural Economics Society","",""
"Knowles J.W.","Knowles, J.W. (57190334804)","57190334804","The Economics of Branch Line Railway Operation in Queensland","1969","Economic Record","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979181757&doi=10.1111%2fj.1475-4932.1969.tb00192.x&partnerID=40&md5=448b643ef1ff02b46413a85c23e20781","[No abstract available]","",""
"Dasgupta P.S.","Dasgupta, P.S. (24295725400)","24295725400","On the concept of optimum population","1969","Review of Economic Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014533464&doi=10.2307%2f2296429&partnerID=40&md5=7ab09f336076e88b1b9cfcbb4dc38adf","[No abstract available]","","Demography; Economics; Models, Economic; Models, Theoretical; Population; Population Dynamics; Population Growth; Public Policy; Research; Socioeconomic Factors; Demographic Factors; Economic Factors; Economic Model; Models, Theoretical; Policy; Population; Population Dynamics; Population Growth; Population Policy; Research Methodology; Social Policy; Socioeconomic Factors; article; Demographic Factors; demography; Economic Factors; Economic Model; economics; policy; population; population dynamics; population growth; Population Policy; research; Research Methodology; socioeconomics; statistical model; theoretical model"
"","","","Book Reviews","1969","The Manchester School","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980118977&doi=10.1111%2fj.1467-9957.1969.tb01103.x&partnerID=40&md5=22e1762122e5d881b06d065acd4c7409","Book reviewed in this article Quarterly Business Capital Expenditures Microeconomic Theory. By C. E. Ferguson. Liverpool and Merseyside : Essays in the Economic and Social History of the Port and its Hinterland. Edited by J. R. Harris Negotiable Certificates of Deposit : The Development of a Money Market Instrument. By Gilbert A. Heebner. Economics of Wages and Labour. By L. C. Hunter and D. J. Robertson. Remaking the International Monetary System Economic Analysis in Input Output Framework (With Indian Empirical Explorations). Edited by P. N. Mathur and R. Bharadwaj The Return to Gold, 1925 : The Formulation of Economic Policy and its Critics. Economic Problems of Agriculture in Industrial Societies. Edited by Ugo Papi and Charles Nunn. Public Expenditures in Communist and Capitalist Nations. By Frederic L. Pryor. Backward Areas in Advanced Countries. Edited by E. A. G. Robinson International Economic Relations. By Paul Samuelson R. & D. and Small‐company Growth. Harvard University Development Advisory Service, Lahore, and University of Salford. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"LAIDLAW A.F.","LAIDLAW, A.F. (57190144965)","57190144965","COOPERATIVE INSTITUTIONS: THE WIDE AND THE NARROW1","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977694344&doi=10.1111%2fj.1744-7976.1968.tb02426.x&partnerID=40&md5=c0c212529acb77fb29d796e73f5b0516","An important problem confronting agriculture is institutional adaptation to the needs and changes of yesterday, today and tomorrow. This paper looks at some challenges facing a familiar institution to agriculture — the cooperative. While other problem areas often considered distant to agriculture are focused on, it is apparent that there is much interdependence between rural and urban problems and institutional change in helping bring about solutions. With present urban problems and their likelihood of persisting for some time, the encouragement of farm people to become city dwellers may need to be more seriously appraised. Similarly there is a need for better understanding of the role of institutions, their jobs, and the socio‐economic impact of alternate means in achieving them before real progress can be broadly achieved. © 1968 by the Canadian Agricultural Economics Society","",""
"Ferber R.","Ferber, Robert (24589507200)","24589507200","Contributions of Economics to the Study of Consumer Market Behavior","1969","Applied Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949358725&doi=10.1080%2f00036846900000025&partnerID=40&md5=359201fd05de89b2fc16d988859d9ac3","[No abstract available]","",""
"Lombardo H.A.","Lombardo, Heraclio A. (57166317900)","57166317900","Training foreign graduate students in agricultural economics: Comment","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960579657&doi=10.2307%2f1238325&partnerID=40&md5=5c161503ad4ed3e6c1cd28262ee278c4","[No abstract available]","",""
"Williams R.E.; Jones M.T.","Williams, R.E. (7409602189); Jones, M.T. (57190334951)","7409602189; 57190334951","ECONOMIC RELATIONSHIPS IN MILK PRODUCTION","1969","Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979184343&doi=10.1111%2fj.1477-9552.1969.tb02321.x&partnerID=40&md5=9a2c25df284d6335ab9f6e9c7e7d1407","The paper reports on the statistical aspects of work done on the National Investigation into the Economics of Milk Production in 1965/66. It argues that conclusions draw from the tabulated results of random samples invariably need checking by more rigorous methods. The method of step‐wise regression with the introduction of zero‐one variables is the principal technique for examining feed input/output relationships and their reflection in economic terms. Five basic dependent variables are considered: yield per cow, stocking density, output per forage acre, utilised starch equivalent per forage acre and margin over feed cost per forage acre. The discussion of the results argues the overwhelming importance of stocking rate in the profitability of milk production and that on many farms concentrates are being used at uneconomic levels. The latter part of the paper considers variation in labour productivity and argues the existence of economies of scale in the use of labour regardless of the system of herd operation. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"McRorie H.D.","McRorie, H.D. (57190142039)","57190142039","The Demand for Agricultural Economists by Agri‐Business To 1980","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977697051&doi=10.1111%2fj.1744-7976.1969.tb01103.x&partnerID=40&md5=9a700033833984f53e5930ffd01b5655","Employing a breakdown of the agri‐business sector into farm types, the author evaluates potential employment prospects in each sector. The most attractive prospects for employment growth appear to exist in financial institutions and business management services. In all cases, however, the future prospect will be directly related to the abilities of the persons and the relevance of the agricultural economics training they have received. LA DEMANDE EN ÉCONOMISTES AGRICOLES DANS LE SECTEUR AGR1COLE COMMERCIAL JUSQU À 1980 – Ayant au préalable classé l'agro‐industrie en quelques types de firmes, fauteur évalue les perspectives possibles d'emploi dans chaque secteur. Les perspectives les plus attrayantes d'emploi accru semblent se situer dans les institutions financières et les services de gestion commerciale. Toutefois, dans tous les cos, les perspectives seront directement reliées aux talents des personnes et à la valeur de la formation reçue en économie agricole. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"Jones J.O.","Jones, J.O. (57225877362)","57225877362","INFORMATION AND COMMUNICATION: THE SERVICES OF THE COMMONWEALTH BUREAU OF AGRICULTURAL ECONOMICS","1969","Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979180382&doi=10.1111%2fj.1477-9552.1969.tb02316.x&partnerID=40&md5=2078e6d9ad3fdcabb8428dff9289cb3c","The need for an information service in agricultural economics and rural sociology is apparent from the quantity of publications. The Bureau has evolved in response to progressive recognition of this need and from earlier attempts to meet it. An information service must provide for awareness of contents of current publications, and for retrieval of information from accumulated stores. The Bureau's journal, World Agricultural Economics and Rural Sociology Abstracts (WAERSA), is designed to provide these services mainly by citation of classified literature together with abstracts and author, subject and geographical indexes. Classification and subject indexing raise conceptual problems which are being handled by empirical methods. A work flow line is designed to deal smoothy with current world publications. Review articles provide complementary information. Editors and authors can facilitate the work of the Bureau by attention to form and substance of primary publications. The present situation is hardly appropriate for use of computer‐based services except possibly for inter‐disciplinary linkages. It is hoped that the Bureau will eventually operate in conjunction with a comprehensive international library, around which research, teaching, editorial and information services will interact. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"PEARSE P.H.","PEARSE, PETER H. (6701863457)","6701863457","AN ECONOMIC EVALUATION OF NON‐RESIDENT HUNTING AND GUIDING IN THE EAST KOOTENAY1","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977685364&doi=10.1111%2fj.1744-7976.1968.tb02436.x&partnerID=40&md5=7b73182ef9f87740c36c67df5016c839","Guiding is an industry closely linked to ranching in Western Canada. In the more remote areas where guiding is a significant activity, agriculture is often depressed. Such complementary non‐farm sources of income are attracting increasing attention as a means of mitigating the “farm problem” in these situations. This study attempts an evaluation of the economic contribution of non‐resident hunting and the associated guiding industry in a region of British Columbia where guiding is an important adjunct to low‐income ranching. The net economic gain from non‐resident hunting is calculated, as are the private profits of guiding. These appear surprisingly low, though there is wide variation in the profitability of guiding. Public administrative policies are probably responsible in part for the failure of this industry to rationalize itself and for underutilization of game resources. © 1968 by the Canadian Agricultural Economics Society","",""
